# Muestra: MFC60035_04
# Modelo: MICROFC-60035-SMT
# Fabricante: onsemi (C-Series)
# Operador: PI_GammaTracker
# Fecha_inicio: 2026-08-10 16:42:34
# Fecha_fin: 2026-08-10 16:48:29
# Duracion_s: 354.4
"# Instrumento: KEITHLEY INSTRUMENTS,MODEL 2450,04302182,1.6.1a"
# Temperatura: 14/15
"# Fase1_fino_directa: -0.3 a -0.3 V, paso 0.01 V"
"# Fase2_grueso: 1.0 a 23.0 V, paso 1.0 V"
"# Fase3_fino_inversa: 23.05 a 30.0 V, paso 0.01 V"
# I_compliance_A: 1.000000e-04
# NPLC: 1.0
# Delay_s: 0.05
# Sensing: 2-wire
# Terminales: frontales (banana)
# Compliance_alcanzado: False
# Compliance_voltage_V: N/A
# Puntos_medidos: 720
# Vbr_V: 24.7103
# Vbr_R2: 0.989966
# Vbr_fit_range_V: 24.82-30.00
# Vbr_fit_npoints: 519
# Notas: none

Voltage_V,Current_A,Current_uA,AbsCurrent_A,SqrtAbsCurrent_sqrtA
-0.300000,-7.510229000000e-08,-0.075102,7.510229000000e-08,2.740479702534e-04
1.000000,-1.218684000000e-09,-0.001219,1.218684000000e-09,3.490965482499e-05
2.000000,1.003308000000e-10,0.000100,1.003308000000e-10,1.001652634400e-05
3.000000,1.303508000000e-09,0.001304,1.303508000000e-09,3.610412718790e-05
4.000000,3.693134000000e-10,0.000369,3.693134000000e-10,1.921752845711e-05
5.000000,3.677657000000e-10,0.000368,3.677657000000e-10,1.917721825500e-05
6.000000,3.267987000000e-10,0.000327,3.267987000000e-10,1.807757450545e-05
7.000000,-1.144304000000e-09,-0.001144,1.144304000000e-09,3.382756272627e-05
8.000000,1.365273000000e-10,0.000137,1.365273000000e-10,1.168448971928e-05
9.000000,1.484656000000e-09,0.001485,1.484656000000e-09,3.853123408353e-05
10.000000,5.956128000000e-10,0.000596,5.956128000000e-10,2.440517977807e-05
11.000000,9.260130000000e-10,0.000926,9.260130000000e-10,3.043046171191e-05
12.000000,5.959973000000e-10,0.000596,5.959973000000e-10,2.441305593325e-05
13.000000,-8.135504000000e-10,-0.000814,8.135504000000e-10,2.852280491116e-05
14.000000,4.332735000000e-10,0.000433,4.332735000000e-10,2.081522279487e-05
15.000000,1.644204000000e-09,0.001644,1.644204000000e-09,4.054878543187e-05
16.000000,7.617958000000e-10,0.000762,7.617958000000e-10,2.760064854310e-05
17.000000,1.676703000000e-09,0.001677,1.676703000000e-09,4.094756403011e-05
18.000000,8.658164000000e-10,0.000866,8.658164000000e-10,2.942475828278e-05
19.000000,9.473254000000e-10,0.000947,9.473254000000e-10,3.077865169237e-05
20.000000,-2.888334000000e-10,-0.000289,2.888334000000e-10,1.699509929362e-05
21.000000,1.100195000000e-09,0.001100,1.100195000000e-09,3.316918750889e-05
22.000000,1.030290000000e-09,0.001030,1.030290000000e-09,3.209813078670e-05
23.000000,1.988600000000e-09,0.001989,1.988600000000e-09,4.459372153118e-05
23.050000,1.485403000000e-09,0.001485,1.485403000000e-09,3.854092629920e-05
23.060000,1.925004000000e-10,0.000193,1.925004000000e-10,1.387445134050e-05
23.070000,1.182609000000e-09,0.001183,1.182609000000e-09,3.438908256991e-05
23.080000,1.420057000000e-09,0.001420,1.420057000000e-09,3.768364366672e-05
23.090000,-1.641817000000e-10,-0.000164,1.641817000000e-10,1.281334070413e-05
23.100000,1.321078000000e-09,0.001321,1.321078000000e-09,3.634663670823e-05
23.110000,4.483806000000e-10,0.000448,4.483806000000e-10,2.117499940968e-05
23.120000,1.028624000000e-09,0.001029,1.028624000000e-09,3.207216862016e-05
23.130000,2.008776000000e-09,0.002009,2.008776000000e-09,4.481937081218e-05
23.140000,1.390302000000e-09,0.001390,1.390302000000e-09,3.728675368009e-05
23.150000,1.284625000000e-09,0.001285,1.284625000000e-09,3.584166569790e-05
23.160000,-8.764420000000e-12,-0.000009,8.764420000000e-12,2.960476313028e-06
23.170000,1.607446000000e-09,0.001607,1.607446000000e-09,4.009296696429e-05
23.180000,6.673666000000e-11,0.000067,6.673666000000e-11,8.169250883649e-06
23.190000,1.414100000000e-09,0.001414,1.414100000000e-09,3.760452100479e-05
23.200000,3.789204000000e-10,0.000379,3.789204000000e-10,1.946587783790e-05
23.210000,1.347665000000e-09,0.001348,1.347665000000e-09,3.671055706469e-05
23.220000,2.037223000000e-09,0.002037,2.037223000000e-09,4.513560678666e-05
23.230000,1.397378000000e-09,0.001397,1.397378000000e-09,3.738151949828e-05
23.240000,1.952176000000e-09,0.001952,1.952176000000e-09,4.418343581027e-05
23.250000,1.478612000000e-09,0.001479,1.478612000000e-09,3.845272422079e-05
23.260000,6.167470000000e-12,0.000006,6.167470000000e-12,2.483439147634e-06
23.270000,1.374636000000e-09,0.001375,1.374636000000e-09,3.707608393560e-05
23.280000,1.473457000000e-10,0.000147,1.473457000000e-10,1.213860370883e-05
23.290000,1.322663000000e-09,0.001323,1.322663000000e-09,3.636843411531e-05
23.300000,1.409103000000e-09,0.001409,1.409103000000e-09,3.753802072566e-05
23.310000,2.060551000000e-09,0.002061,2.060551000000e-09,4.539329245604e-05
23.320000,1.280909000000e-09,0.001281,1.280909000000e-09,3.578978904660e-05
23.330000,1.867339000000e-10,0.000187,1.867339000000e-10,1.366506128782e-05
23.340000,1.377197000000e-09,0.001377,1.377197000000e-09,3.711060495330e-05
23.350000,1.255635000000e-09,0.001256,1.255635000000e-09,3.543494038375e-05
23.360000,1.476946000000e-09,0.001477,1.476946000000e-09,3.843105515075e-05
23.370000,-5.040608000000e-11,-0.000050,5.040608000000e-11,7.099723938295e-06
23.380000,1.452345000000e-09,0.001452,1.452345000000e-09,3.810964444862e-05
23.390000,2.234257000000e-09,0.002234,2.234257000000e-09,4.726792781580e-05
23.400000,1.354007000000e-09,0.001354,1.354007000000e-09,3.679683410295e-05
23.410000,1.613694000000e-10,0.000161,1.613694000000e-10,1.270312559963e-05
23.420000,1.380777000000e-09,0.001381,1.380777000000e-09,3.715880783879e-05
23.430000,1.267285000000e-09,0.001267,1.267285000000e-09,3.559894661363e-05
23.440000,1.427167000000e-09,0.001427,1.427167000000e-09,3.777786388879e-05
23.450000,3.863143000000e-11,0.000039,3.863143000000e-11,6.215418730866e-06
23.460000,1.234014000000e-09,0.001234,1.234014000000e-09,3.512853540927e-05
23.470000,2.873846000000e-12,0.000003,2.873846000000e-12,1.695242165592e-06
23.480000,1.104156000000e-09,0.001104,1.104156000000e-09,3.322884289288e-05
23.490000,2.160473000000e-09,0.002160,2.160473000000e-09,4.648088854572e-05
23.500000,1.327868000000e-09,0.001328,1.327868000000e-09,3.643992316128e-05
23.510000,1.558753000000e-09,0.001559,1.558753000000e-09,3.948104608543e-05
23.520000,1.365602000000e-09,0.001366,1.365602000000e-09,3.695405255178e-05
23.530000,4.966307000000e-10,0.000497,4.966307000000e-10,2.228521258593e-05
23.540000,1.330238000000e-09,0.001330,1.330238000000e-09,3.647242794221e-05
23.550000,2.092456000000e-09,0.002092,2.092456000000e-09,4.574337110446e-05
23.560000,1.465158000000e-09,0.001465,1.465158000000e-09,3.827738235564e-05
23.570000,1.310878000000e-10,0.000131,1.310878000000e-10,1.144935806061e-05
23.580000,1.379056000000e-09,0.001379,1.379056000000e-09,3.713564325550e-05
23.590000,2.258685000000e-09,0.002259,2.258685000000e-09,4.752562466712e-05
23.600000,1.523072000000e-09,0.001523,1.523072000000e-09,3.902655506191e-05
23.610000,2.145016000000e-10,0.000215,2.145016000000e-10,1.464587313887e-05
23.620000,1.363069000000e-09,0.001363,1.363069000000e-09,3.691976435461e-05
23.630000,1.242726000000e-09,0.001243,1.242726000000e-09,3.525231907265e-05
23.640000,2.144186000000e-09,0.002144,2.144186000000e-09,4.630535606169e-05
23.650000,1.517563000000e-09,0.001518,1.517563000000e-09,3.895591097638e-05
23.660000,2.903043000000e-10,0.000290,2.903043000000e-10,1.703831857901e-05
23.670000,1.371967000000e-09,0.001372,1.371967000000e-09,3.704007289410e-05
23.680000,1.699762000000e-09,0.001700,1.699762000000e-09,4.122816998122e-05
23.690000,1.676945000000e-10,0.000168,1.676945000000e-10,1.294969111601e-05
23.700000,1.566957000000e-09,0.001567,1.566957000000e-09,3.958480769184e-05
23.710000,4.410777000000e-10,0.000441,4.410777000000e-10,2.100184991852e-05
23.720000,1.517564000000e-09,0.001518,1.517564000000e-09,3.895592381141e-05
23.730000,1.888188000000e-09,0.001888,1.888188000000e-09,4.345328526130e-05
23.740000,1.433255000000e-09,0.001433,1.433255000000e-09,3.785835442805e-05
23.750000,6.694616000000e-11,0.000067,6.694616000000e-11,8.182063309459e-06
23.760000,1.301282000000e-09,0.001301,1.301282000000e-09,3.607328651509e-05
23.770000,2.125065000000e-09,0.002125,2.125065000000e-09,4.609842730506e-05
23.780000,1.437418000000e-09,0.001437,1.437418000000e-09,3.791329582086e-05
23.790000,1.813223000000e-10,0.000181,1.813223000000e-10,1.346559690470e-05
23.800000,1.425896000000e-09,0.001426,1.425896000000e-09,3.776103812132e-05
23.810000,1.499305000000e-09,0.001499,1.499305000000e-09,3.872086001111e-05
23.820000,1.993841000000e-10,0.000199,1.993841000000e-10,1.412034348024e-05
23.830000,1.372009000000e-09,0.001372,1.372009000000e-09,3.704063984329e-05
23.840000,2.188584000000e-09,0.002189,2.188584000000e-09,4.678230434684e-05
23.850000,1.451837000000e-09,0.001452,1.451837000000e-09,3.810297888617e-05
23.860000,1.498407000000e-09,0.001498,1.498407000000e-09,3.870926245745e-05
23.870000,2.193507000000e-09,0.002194,2.193507000000e-09,4.683489084006e-05
23.880000,1.548506000000e-09,0.001549,1.548506000000e-09,3.935106097680e-05
23.890000,1.675664000000e-10,0.000168,1.675664000000e-10,1.294474410717e-05
23.900000,1.467529000000e-09,0.001468,1.467529000000e-09,3.830834112827e-05
23.910000,2.669822000000e-10,0.000267,2.669822000000e-10,1.633958995814e-05
23.920000,1.378816000000e-09,0.001379,1.378816000000e-09,3.713241171807e-05
23.930000,1.450744000000e-09,0.001451,1.450744000000e-09,3.808863347509e-05
23.940000,9.633157000000e-11,0.000096,9.633157000000e-11,9.814864746903e-06
23.950000,1.119787000000e-09,0.001120,1.119787000000e-09,3.346321861388e-05
23.960000,2.180700000000e-09,0.002181,2.180700000000e-09,4.669796569445e-05
23.970000,1.481507000000e-09,0.001482,1.481507000000e-09,3.849034943983e-05
23.980000,1.378030000000e-09,0.001378,1.378030000000e-09,3.712182646369e-05
23.990000,2.168573000000e-09,0.002169,2.168573000000e-09,4.656793961515e-05
24.000000,1.591300000000e-09,0.001591,1.591300000000e-09,3.989110176468e-05
24.010000,2.269832000000e-10,0.000227,2.269832000000e-10,1.506596163542e-05
24.020000,1.492963000000e-09,0.001493,1.492963000000e-09,3.863887938334e-05
24.030000,8.362894000000e-11,0.000084,8.362894000000e-11,9.144886002570e-06
