# Experimento: Corriente oscura (proxy DCR) a V_ov fijo
# Dispositivo: MFC60035_07
# Modelo: MICROFC-60035-SMT (onsemi C-Series)
# Batch: 2
# V_br_ref_V: 24.5810
# V_br_ref_fecha: 11/08/2026 a 16 C (LOG 3)
# V_ov_target_V: 2.5
# V_bias_V: 27.0810
# Config: B (HI->catodo, LO->anodo, V positivos)
# I_dark_mean_A: 3.485971130000e-07
# I_dark_std_A: 3.190006435371e-09
# I_dark_mean_nA: 348.5971
# I_dark_std_nA: 3.1900
# N_samples: 100
# Compliance_hit: False
# NPLC: 1.0
# Stabilize_time_s: 10.0
# I_compliance_A: 1.000000e-04
# Temperatura_C: 16
# Instrumento: KEITHLEY INSTRUMENTS,MODEL 2450,04302182,1.6.1a
# Operador: PI_GammaTracker
# Fecha: 2026-08-24 12:45:54
# Notas: none

reading_idx,current_A,current_nA,current_uA
0,3.535639000000e-07,353.5639,0.353564
1,3.476600000000e-07,347.6600,0.347660
2,3.486322000000e-07,348.6322,0.348632
3,3.502011000000e-07,350.2011,0.350201
4,3.490602000000e-07,349.0602,0.349060
5,3.460181000000e-07,346.0181,0.346018
6,3.510484000000e-07,351.0484,0.351048
7,3.504974000000e-07,350.4974,0.350497
8,3.438340000000e-07,343.8340,0.343834
9,3.476935000000e-07,347.6935,0.347693
10,3.493403000000e-07,349.3403,0.349340
11,3.526166000000e-07,352.6166,0.352617
12,3.447203000000e-07,344.7203,0.344720
13,3.444460000000e-07,344.4460,0.344446
14,3.515190000000e-07,351.5190,0.351519
15,3.482858000000e-07,348.2858,0.348286
16,3.466630000000e-07,346.6630,0.346663
17,3.494725000000e-07,349.4725,0.349472
18,3.482481000000e-07,348.2481,0.348248
19,3.482358000000e-07,348.2358,0.348236
20,3.490212000000e-07,349.0212,0.349021
21,3.456419000000e-07,345.6419,0.345642
22,3.474169000000e-07,347.4169,0.347417
23,3.509377000000e-07,350.9377,0.350938
24,3.521358000000e-07,352.1358,0.352136
25,3.436019000000e-07,343.6019,0.343602
26,3.421387000000e-07,342.1387,0.342139
27,3.466559000000e-07,346.6559,0.346656
28,3.486558000000e-07,348.6558,0.348656
29,3.467884000000e-07,346.7884,0.346788
30,3.494834000000e-07,349.4834,0.349483
31,3.448332000000e-07,344.8332,0.344833
32,3.552213000000e-07,355.2213,0.355221
33,3.472778000000e-07,347.2778,0.347278
34,3.493346000000e-07,349.3346,0.349335
35,3.507256000000e-07,350.7256,0.350726
36,3.444955000000e-07,344.4955,0.344495
37,3.493453000000e-07,349.3453,0.349345
38,3.446553000000e-07,344.6553,0.344655
39,3.498085000000e-07,349.8085,0.349808
40,3.496394000000e-07,349.6394,0.349639
41,3.482744000000e-07,348.2744,0.348274
42,3.458854000000e-07,345.8854,0.345885
43,3.464534000000e-07,346.4534,0.346453
44,3.490362000000e-07,349.0362,0.349036
45,3.508799000000e-07,350.8799,0.350880
46,3.444063000000e-07,344.4063,0.344406
47,3.513536000000e-07,351.3536,0.351354
48,3.469936000000e-07,346.9936,0.346994
49,3.446657000000e-07,344.6657,0.344666
50,3.473735000000e-07,347.3735,0.347374
51,3.485662000000e-07,348.5662,0.348566
52,3.478261000000e-07,347.8261,0.347826
53,3.455544000000e-07,345.5544,0.345554
54,3.473758000000e-07,347.3758,0.347376
55,3.457441000000e-07,345.7441,0.345744
56,3.468195000000e-07,346.8195,0.346820
57,3.459022000000e-07,345.9022,0.345902
58,3.452095000000e-07,345.2095,0.345210
59,3.513151000000e-07,351.3151,0.351315
60,3.474217000000e-07,347.4217,0.347422
61,3.448434000000e-07,344.8434,0.344843
62,3.482472000000e-07,348.2472,0.348247
63,3.432780000000e-07,343.2780,0.343278
64,3.506580000000e-07,350.6580,0.350658
65,3.500833000000e-07,350.0833,0.350083
66,3.514234000000e-07,351.4234,0.351423
67,3.551376000000e-07,355.1376,0.355138
68,3.474885000000e-07,347.4885,0.347489
69,3.508311000000e-07,350.8311,0.350831
70,3.503870000000e-07,350.3870,0.350387
71,3.502576000000e-07,350.2576,0.350258
72,3.440095000000e-07,344.0095,0.344010
73,3.480896000000e-07,348.0896,0.348090
74,3.558713000000e-07,355.8713,0.355871
75,3.477528000000e-07,347.7528,0.347753
76,3.508207000000e-07,350.8207,0.350821
77,3.450017000000e-07,345.0017,0.345002
78,3.493218000000e-07,349.3218,0.349322
79,3.538361000000e-07,353.8361,0.353836
80,3.470873000000e-07,347.0873,0.347087
81,3.492778000000e-07,349.2778,0.349278
82,3.525544000000e-07,352.5544,0.352554
83,3.516541000000e-07,351.6541,0.351654
84,3.432811000000e-07,343.2811,0.343281
85,3.470830000000e-07,347.0830,0.347083
86,3.424981000000e-07,342.4981,0.342498
87,3.463587000000e-07,346.3587,0.346359
88,3.500324000000e-07,350.0324,0.350032
89,3.480344000000e-07,348.0344,0.348034
90,3.531154000000e-07,353.1154,0.353115
91,3.469005000000e-07,346.9005,0.346901
92,3.502596000000e-07,350.2596,0.350260
93,3.494324000000e-07,349.4324,0.349432
94,3.509303000000e-07,350.9303,0.350930
95,3.506921000000e-07,350.6921,0.350692
96,3.523566000000e-07,352.3566,0.352357
97,3.490097000000e-07,349.0097,0.349010
98,3.550261000000e-07,355.0261,0.355026
99,3.601618000000e-07,360.1618,0.360162
