# Experimento: Corriente oscura (proxy DCR) a V_ov fijo
# Dispositivo: MFC60035_08
# Modelo: MICROFC-60035-SMT (onsemi C-Series)
# Batch: 2
# V_br_ref_V: 24.5450
# V_br_ref_fecha: 11/08/2026 a 16 C (LOG 3)
# V_ov_target_V: 2.5
# V_bias_V: 27.0450
# Config: B (HI->catodo, LO->anodo, V positivos)
# I_dark_mean_A: 4.166528670000e-07
# I_dark_std_A: 3.486340526784e-09
# I_dark_mean_nA: 416.6529
# I_dark_std_nA: 3.4863
# N_samples: 100
# Compliance_hit: False
# NPLC: 1.0
# Stabilize_time_s: 10.0
# I_compliance_A: 1.000000e-04
# Temperatura_C: 16
# Instrumento: KEITHLEY INSTRUMENTS,MODEL 2450,04302182,1.6.1a
# Operador: PI_GammaTracker
# Fecha: 2026-08-24 12:50:30
# Notas: none

reading_idx,current_A,current_nA,current_uA
0,4.159473000000e-07,415.9473,0.415947
1,4.126294000000e-07,412.6294,0.412629
2,4.185563000000e-07,418.5563,0.418556
3,4.192102000000e-07,419.2102,0.419210
4,4.195292000000e-07,419.5292,0.419529
5,4.181496000000e-07,418.1496,0.418150
6,4.242436000000e-07,424.2436,0.424244
7,4.159422000000e-07,415.9422,0.415942
8,4.195950000000e-07,419.5950,0.419595
9,4.145082000000e-07,414.5082,0.414508
10,4.201582000000e-07,420.1582,0.420158
11,4.177433000000e-07,417.7433,0.417743
12,4.181984000000e-07,418.1984,0.418198
13,4.168535000000e-07,416.8535,0.416854
14,4.140112000000e-07,414.0112,0.414011
15,4.167452000000e-07,416.7452,0.416745
16,4.147914000000e-07,414.7914,0.414791
17,4.130932000000e-07,413.0932,0.413093
18,4.193536000000e-07,419.3536,0.419354
19,4.214869000000e-07,421.4869,0.421487
20,4.080474000000e-07,408.0474,0.408047
21,4.267340000000e-07,426.7340,0.426734
22,4.144058000000e-07,414.4058,0.414406
23,4.140512000000e-07,414.0512,0.414051
24,4.151771000000e-07,415.1771,0.415177
25,4.185699000000e-07,418.5699,0.418570
26,4.211061000000e-07,421.1061,0.421106
27,4.158109000000e-07,415.8109,0.415811
28,4.140855000000e-07,414.0855,0.414085
29,4.136146000000e-07,413.6146,0.413615
30,4.187340000000e-07,418.7340,0.418734
31,4.196413000000e-07,419.6413,0.419641
32,4.154608000000e-07,415.4608,0.415461
33,4.192943000000e-07,419.2943,0.419294
34,4.167354000000e-07,416.7354,0.416735
35,4.141146000000e-07,414.1146,0.414115
36,4.189627000000e-07,418.9627,0.418963
37,4.177361000000e-07,417.7361,0.417736
38,4.194132000000e-07,419.4132,0.419413
39,4.161994000000e-07,416.1994,0.416199
40,4.184390000000e-07,418.4390,0.418439
41,4.139359000000e-07,413.9359,0.413936
42,4.167618000000e-07,416.7618,0.416762
43,4.092114000000e-07,409.2114,0.409211
44,4.132152000000e-07,413.2152,0.413215
45,4.189141000000e-07,418.9141,0.418914
46,4.172382000000e-07,417.2382,0.417238
47,4.139491000000e-07,413.9491,0.413949
48,4.127172000000e-07,412.7172,0.412717
49,4.205630000000e-07,420.5630,0.420563
50,4.129780000000e-07,412.9780,0.412978
51,4.124857000000e-07,412.4857,0.412486
52,4.141945000000e-07,414.1945,0.414195
53,4.186141000000e-07,418.6141,0.418614
54,4.120761000000e-07,412.0761,0.412076
55,4.137037000000e-07,413.7037,0.413704
56,4.129490000000e-07,412.9490,0.412949
57,4.164850000000e-07,416.4850,0.416485
58,4.132648000000e-07,413.2648,0.413265
59,4.185516000000e-07,418.5516,0.418552
60,4.144440000000e-07,414.4440,0.414444
61,4.179791000000e-07,417.9791,0.417979
62,4.123241000000e-07,412.3241,0.412324
63,4.125963000000e-07,412.5963,0.412596
64,4.135866000000e-07,413.5866,0.413587
65,4.224275000000e-07,422.4275,0.422428
66,4.128763000000e-07,412.8763,0.412876
67,4.190238000000e-07,419.0238,0.419024
68,4.183679000000e-07,418.3679,0.418368
69,4.120980000000e-07,412.0980,0.412098
70,4.110358000000e-07,411.0358,0.411036
71,4.212490000000e-07,421.2490,0.421249
72,4.196443000000e-07,419.6443,0.419644
73,4.147340000000e-07,414.7340,0.414734
74,4.121459000000e-07,412.1459,0.412146
75,4.168121000000e-07,416.8121,0.416812
76,4.142928000000e-07,414.2928,0.414293
77,4.131991000000e-07,413.1991,0.413199
78,4.163465000000e-07,416.3465,0.416347
79,4.169927000000e-07,416.9927,0.416993
80,4.126998000000e-07,412.6998,0.412700
81,4.124381000000e-07,412.4381,0.412438
82,4.169060000000e-07,416.9060,0.416906
83,4.193706000000e-07,419.3706,0.419371
84,4.202558000000e-07,420.2558,0.420256
85,4.217524000000e-07,421.7524,0.421752
86,4.197178000000e-07,419.7178,0.419718
87,4.223668000000e-07,422.3668,0.422367
88,4.174229000000e-07,417.4229,0.417423
89,4.217467000000e-07,421.7467,0.421747
90,4.237252000000e-07,423.7252,0.423725
91,4.178743000000e-07,417.8743,0.417874
92,4.197444000000e-07,419.7444,0.419744
93,4.183100000000e-07,418.3100,0.418310
94,4.218608000000e-07,421.8608,0.421861
95,4.099085000000e-07,409.9085,0.409909
96,4.170907000000e-07,417.0907,0.417091
97,4.147225000000e-07,414.7225,0.414722
98,4.162336000000e-07,416.2336,0.416234
99,4.200764000000e-07,420.0764,0.420076
