# Experimento: Corriente oscura (proxy DCR) a V_ov fijo
# Dispositivo: MFC60035_10
# Modelo: MICROFC-60035-SMT (onsemi C-Series)
# Batch: 2
# V_br_ref_V: 24.5310
# V_br_ref_fecha: 11/08/2026 a 16 C (LOG 3)
# V_ov_target_V: 2.5
# V_bias_V: 27.0310
# Config: B (HI->catodo, LO->anodo, V positivos)
# I_dark_mean_A: 3.972502030000e-07
# I_dark_std_A: 3.811547610984e-09
# I_dark_mean_nA: 397.2502
# I_dark_std_nA: 3.8115
# N_samples: 100
# Compliance_hit: False
# NPLC: 1.0
# Stabilize_time_s: 10.0
# I_compliance_A: 1.000000e-04
# Temperatura_C: 16
# Instrumento: KEITHLEY INSTRUMENTS,MODEL 2450,04302182,1.6.1a
# Operador: PI_GammaTracker
# Fecha: 2026-08-24 13:00:23
# Notas: none

reading_idx,current_A,current_nA,current_uA
0,3.979010000000e-07,397.9010,0.397901
1,3.976616000000e-07,397.6616,0.397662
2,3.975205000000e-07,397.5205,0.397520
3,3.920438000000e-07,392.0438,0.392044
4,3.938965000000e-07,393.8965,0.393896
5,3.988937000000e-07,398.8937,0.398894
6,3.904871000000e-07,390.4871,0.390487
7,3.999843000000e-07,399.9843,0.399984
8,4.029683000000e-07,402.9683,0.402968
9,3.975105000000e-07,397.5105,0.397510
10,3.937983000000e-07,393.7983,0.393798
11,3.983751000000e-07,398.3751,0.398375
12,3.976012000000e-07,397.6012,0.397601
13,3.959419000000e-07,395.9419,0.395942
14,3.990724000000e-07,399.0724,0.399072
15,4.017216000000e-07,401.7216,0.401722
16,3.959953000000e-07,395.9953,0.395995
17,4.016471000000e-07,401.6471,0.401647
18,4.021437000000e-07,402.1437,0.402144
19,3.941121000000e-07,394.1121,0.394112
20,3.893433000000e-07,389.3433,0.389343
21,3.944055000000e-07,394.4055,0.394405
22,3.950436000000e-07,395.0436,0.395044
23,3.949808000000e-07,394.9808,0.394981
24,4.017344000000e-07,401.7344,0.401734
25,3.979974000000e-07,397.9974,0.397997
26,3.984967000000e-07,398.4967,0.398497
27,4.004267000000e-07,400.4267,0.400427
28,3.921448000000e-07,392.1448,0.392145
29,3.882166000000e-07,388.2166,0.388217
30,3.919807000000e-07,391.9807,0.391981
31,3.929505000000e-07,392.9505,0.392950
32,3.925009000000e-07,392.5009,0.392501
33,3.928081000000e-07,392.8081,0.392808
34,3.936957000000e-07,393.6957,0.393696
35,3.932549000000e-07,393.2549,0.393255
36,3.956170000000e-07,395.6170,0.395617
37,3.933592000000e-07,393.3592,0.393359
38,3.940943000000e-07,394.0943,0.394094
39,3.996029000000e-07,399.6029,0.399603
40,3.966855000000e-07,396.6855,0.396686
41,3.944397000000e-07,394.4397,0.394440
42,3.943506000000e-07,394.3506,0.394351
43,3.977938000000e-07,397.7938,0.397794
44,3.970652000000e-07,397.0652,0.397065
45,3.970736000000e-07,397.0736,0.397074
46,3.940746000000e-07,394.0746,0.394075
47,3.936810000000e-07,393.6810,0.393681
48,3.929560000000e-07,392.9560,0.392956
49,3.972500000000e-07,397.2500,0.397250
50,3.947360000000e-07,394.7360,0.394736
51,3.984503000000e-07,398.4503,0.398450
52,3.926224000000e-07,392.6224,0.392622
53,3.966635000000e-07,396.6635,0.396664
54,3.962038000000e-07,396.2038,0.396204
55,3.932362000000e-07,393.2362,0.393236
56,3.904720000000e-07,390.4720,0.390472
57,4.064575000000e-07,406.4575,0.406457
58,3.916983000000e-07,391.6983,0.391698
59,4.025079000000e-07,402.5079,0.402508
60,4.009468000000e-07,400.9468,0.400947
61,4.031603000000e-07,403.1603,0.403160
62,4.027571000000e-07,402.7571,0.402757
63,3.996342000000e-07,399.6342,0.399634
64,3.965706000000e-07,396.5706,0.396571
65,3.956007000000e-07,395.6007,0.395601
66,4.017882000000e-07,401.7882,0.401788
67,3.964443000000e-07,396.4443,0.396444
68,3.987863000000e-07,398.7863,0.398786
69,3.995534000000e-07,399.5534,0.399553
70,3.996548000000e-07,399.6548,0.399655
71,4.004105000000e-07,400.4105,0.400411
72,3.971422000000e-07,397.1422,0.397142
73,3.944780000000e-07,394.4780,0.394478
74,3.967824000000e-07,396.7824,0.396782
75,3.957202000000e-07,395.7202,0.395720
76,3.923734000000e-07,392.3734,0.392373
77,4.042136000000e-07,404.2136,0.404214
78,4.052490000000e-07,405.2490,0.405249
79,3.989703000000e-07,398.9703,0.398970
80,3.981150000000e-07,398.1150,0.398115
81,3.975689000000e-07,397.5689,0.397569
82,3.979906000000e-07,397.9906,0.397991
83,3.969789000000e-07,396.9789,0.396979
84,3.990960000000e-07,399.0960,0.399096
85,4.009285000000e-07,400.9285,0.400928
86,4.012398000000e-07,401.2398,0.401240
87,3.983750000000e-07,398.3750,0.398375
88,3.998692000000e-07,399.8692,0.399869
89,3.957976000000e-07,395.7976,0.395798
90,4.005326000000e-07,400.5326,0.400533
91,4.049077000000e-07,404.9077,0.404908
92,3.934058000000e-07,393.4058,0.393406
93,4.041735000000e-07,404.1735,0.404173
94,3.977701000000e-07,397.7701,0.397770
95,3.928952000000e-07,392.8952,0.392895
96,4.028465000000e-07,402.8465,0.402846
97,4.027734000000e-07,402.7734,0.402773
98,3.986569000000e-07,398.6569,0.398657
99,4.005149000000e-07,400.5149,0.400515
