# Experimento: Corriente oscura (proxy DCR) a V_ov fijo
# Dispositivo: MFC60035_09
# Modelo: MICROFC-60035-SMT (onsemi C-Series)
# Batch: 2
# V_br_ref_V: 24.5290
# V_br_ref_fecha: 11/08/2026 a 16 C (LOG 3)
# V_ov_target_V: 2.5
# V_bias_V: 27.0290
# Config: B (HI->catodo, LO->anodo, V positivos)
# I_dark_mean_A: 3.733088790000e-07
# I_dark_std_A: 6.052879883185e-09
# I_dark_mean_nA: 373.3089
# I_dark_std_nA: 6.0529
# N_samples: 100
# Compliance_hit: False
# NPLC: 1.0
# Stabilize_time_s: 10.0
# I_compliance_A: 1.000000e-04
# Temperatura_C: 16
# Instrumento: KEITHLEY INSTRUMENTS,MODEL 2450,04302182,1.6.1a
# Operador: PI_GammaTracker
# Fecha: 2026-08-24 12:55:41
# Notas: none

reading_idx,current_A,current_nA,current_uA
0,3.695100000000e-07,369.5100,0.369510
1,3.673963000000e-07,367.3963,0.367396
2,3.666852000000e-07,366.6852,0.366685
3,3.701945000000e-07,370.1945,0.370195
4,3.611783000000e-07,361.1783,0.361178
5,3.719238000000e-07,371.9238,0.371924
6,3.659607000000e-07,365.9607,0.365961
7,3.702217000000e-07,370.2217,0.370222
8,3.671396000000e-07,367.1396,0.367140
9,3.691100000000e-07,369.1100,0.369110
10,3.663938000000e-07,366.3938,0.366394
11,3.688050000000e-07,368.8050,0.368805
12,3.667040000000e-07,366.7040,0.366704
13,3.703886000000e-07,370.3886,0.370389
14,3.718866000000e-07,371.8866,0.371887
15,3.673929000000e-07,367.3929,0.367393
16,3.640822000000e-07,364.0822,0.364082
17,3.644159000000e-07,364.4159,0.364416
18,3.696460000000e-07,369.6460,0.369646
19,3.686229000000e-07,368.6229,0.368623
20,3.676186000000e-07,367.6186,0.367619
21,3.681352000000e-07,368.1352,0.368135
22,3.706097000000e-07,370.6097,0.370610
23,3.713947000000e-07,371.3947,0.371395
24,3.667143000000e-07,366.7143,0.366714
25,3.725918000000e-07,372.5918,0.372592
26,3.683590000000e-07,368.3590,0.368359
27,3.676351000000e-07,367.6351,0.367635
28,3.714999000000e-07,371.4999,0.371500
29,3.732908000000e-07,373.2908,0.373291
30,3.706870000000e-07,370.6870,0.370687
31,3.647913000000e-07,364.7913,0.364791
32,3.713161000000e-07,371.3161,0.371316
33,3.713809000000e-07,371.3809,0.371381
34,3.652473000000e-07,365.2473,0.365247
35,3.698509000000e-07,369.8509,0.369851
36,3.648129000000e-07,364.8129,0.364813
37,3.699734000000e-07,369.9734,0.369973
38,3.628456000000e-07,362.8456,0.362846
39,3.678093000000e-07,367.8093,0.367809
40,3.652510000000e-07,365.2510,0.365251
41,3.711772000000e-07,371.1772,0.371177
42,3.678416000000e-07,367.8416,0.367842
43,3.677375000000e-07,367.7375,0.367737
44,3.749393000000e-07,374.9393,0.374939
45,3.654974000000e-07,365.4974,0.365497
46,3.669408000000e-07,366.9408,0.366941
47,3.664397000000e-07,366.4397,0.366440
48,3.640887000000e-07,364.0887,0.364089
49,3.725101000000e-07,372.5101,0.372510
50,3.721055000000e-07,372.1055,0.372105
51,3.784290000000e-07,378.4290,0.378429
52,3.751850000000e-07,375.1850,0.375185
53,3.757598000000e-07,375.7598,0.375760
54,3.768642000000e-07,376.8642,0.376864
55,3.832087000000e-07,383.2087,0.383209
56,3.793708000000e-07,379.3708,0.379371
57,3.809776000000e-07,380.9776,0.380978
58,3.771868000000e-07,377.1868,0.377187
59,3.842936000000e-07,384.2936,0.384294
60,3.787211000000e-07,378.7211,0.378721
61,3.795051000000e-07,379.5051,0.379505
62,3.842889000000e-07,384.2889,0.384289
63,3.830214000000e-07,383.0214,0.383021
64,3.811783000000e-07,381.1783,0.381178
65,3.777852000000e-07,377.7852,0.377785
66,3.718796000000e-07,371.8796,0.371880
67,3.756528000000e-07,375.6528,0.375653
68,3.788800000000e-07,378.8800,0.378880
69,3.751088000000e-07,375.1088,0.375109
70,3.805614000000e-07,380.5614,0.380561
71,3.708340000000e-07,370.8340,0.370834
72,3.718717000000e-07,371.8717,0.371872
73,3.705527000000e-07,370.5527,0.370553
74,3.803022000000e-07,380.3022,0.380302
75,3.732455000000e-07,373.2455,0.373246
76,3.800772000000e-07,380.0772,0.380077
77,3.805364000000e-07,380.5364,0.380536
78,3.850653000000e-07,385.0653,0.385065
79,3.739289000000e-07,373.9289,0.373929
80,3.753354000000e-07,375.3354,0.375335
81,3.767844000000e-07,376.7844,0.376784
82,3.778628000000e-07,377.8628,0.377863
83,3.728003000000e-07,372.8003,0.372800
84,3.774337000000e-07,377.4337,0.377434
85,3.781597000000e-07,378.1597,0.378160
86,3.766036000000e-07,376.6036,0.376604
87,3.757557000000e-07,375.7557,0.375756
88,3.818472000000e-07,381.8472,0.381847
89,3.754354000000e-07,375.4354,0.375435
90,3.780989000000e-07,378.0989,0.378099
91,3.815875000000e-07,381.5875,0.381588
92,3.834483000000e-07,383.4483,0.383448
93,3.781454000000e-07,378.1454,0.378145
94,3.814752000000e-07,381.4752,0.381475
95,3.868864000000e-07,386.8864,0.386886
96,3.776614000000e-07,377.6614,0.377661
97,3.802043000000e-07,380.2043,0.380204
98,3.814574000000e-07,381.4574,0.381457
99,3.808823000000e-07,380.8823,0.380882
