# Experimento: Corriente oscura (proxy DCR) a V_ov fijo
# Dispositivo: MFC60035_05
# Modelo: MICROFC-60035-SMT (onsemi C-Series)
# Batch: 1
# V_br_ref_V: 24.7190
# V_br_ref_fecha: 11/08/2026 a 16 C (LOG 3)
# V_ov_target_V: 2.5
# V_bias_V: 27.2190
"# Config: B (HI->catodo, LO->anodo, V positivos)"
# I_dark_mean_A: 6.110044880000e-07
# I_dark_std_A: 8.579535959695e-09
# I_dark_mean_nA: 611.0045
# I_dark_std_nA: 8.5795
# N_samples: 100
# Compliance_hit: False
# NPLC: 1.0
# Stabilize_time_s: 10.0
# I_compliance_A: 1.000000e-04
# Temperatura_C: 16
"# Instrumento: KEITHLEY INSTRUMENTS,MODEL 2450,04302182,1.6.1a"
# Operador: PI_GammaTracker
# Fecha: 2026-08-24 12:06:13
# Notas: none

reading_idx,current_A,current_nA,current_uA
0,5.964323000000e-07,596.4323,0.596432
1,6.186045000000e-07,618.6045,0.618605
2,6.155490000000e-07,615.5490,0.615549
3,6.213078000000e-07,621.3078,0.621308
4,6.056833000000e-07,605.6833,0.605683
5,6.009892000000e-07,600.9892,0.600989
6,6.050760000000e-07,605.0760,0.605076
7,6.134604000000e-07,613.4604,0.613460
8,6.085370000000e-07,608.5370,0.608537
9,6.005823000000e-07,600.5823,0.600582
10,6.085386000000e-07,608.5386,0.608539
11,6.107119000000e-07,610.7119,0.610712
12,5.903043000000e-07,590.3043,0.590304
13,6.149598000000e-07,614.9598,0.614960
14,6.097504000000e-07,609.7504,0.609750
15,6.148967000000e-07,614.8967,0.614897
16,6.036985000000e-07,603.6985,0.603699
17,6.056208000000e-07,605.6208,0.605621
18,6.195503000000e-07,619.5503,0.619550
19,6.109057000000e-07,610.9057,0.610906
20,6.010503000000e-07,601.0503,0.601050
21,6.149707000000e-07,614.9707,0.614971
22,6.101475000000e-07,610.1475,0.610148
23,6.158554000000e-07,615.8554,0.615855
24,6.133127000000e-07,613.3127,0.613313
25,6.097520000000e-07,609.7520,0.609752
26,6.215714000000e-07,621.5714,0.621571
27,6.216486000000e-07,621.6486,0.621649
28,6.186027000000e-07,618.6027,0.618603
29,6.138706000000e-07,613.8706,0.613871
30,6.193245000000e-07,619.3245,0.619324
31,6.162342000000e-07,616.2342,0.616234
32,6.104810000000e-07,610.4810,0.610481
33,6.011319000000e-07,601.1319,0.601132
34,6.160476000000e-07,616.0476,0.616048
35,6.138794000000e-07,613.8794,0.613879
36,6.083334000000e-07,608.3334,0.608333
37,6.141015000000e-07,614.1015,0.614101
38,6.155325000000e-07,615.5325,0.615533
39,6.147678000000e-07,614.7678,0.614768
40,6.169010000000e-07,616.9010,0.616901
41,6.095665000000e-07,609.5665,0.609567
42,6.290718000000e-07,629.0718,0.629072
43,6.054537000000e-07,605.4537,0.605454
44,5.967673000000e-07,596.7673,0.596767
45,5.998721000000e-07,599.8721,0.599872
46,6.112843000000e-07,611.2843,0.611284
47,6.098678000000e-07,609.8678,0.609868
48,6.265775000000e-07,626.5775,0.626578
49,6.118601000000e-07,611.8601,0.611860
50,6.035966000000e-07,603.5966,0.603597
51,6.061199000000e-07,606.1199,0.606120
52,6.129578000000e-07,612.9578,0.612958
53,6.195987000000e-07,619.5987,0.619599
54,6.073471000000e-07,607.3471,0.607347
55,6.131999000000e-07,613.1999,0.613200
56,6.029030000000e-07,602.9030,0.602903
57,5.981960000000e-07,598.1960,0.598196
58,6.148867000000e-07,614.8867,0.614887
59,6.263966000000e-07,626.3966,0.626397
60,6.176168000000e-07,617.6168,0.617617
61,5.963756000000e-07,596.3756,0.596376
62,6.113194000000e-07,611.3194,0.611319
63,6.046167000000e-07,604.6167,0.604617
64,5.961730000000e-07,596.1730,0.596173
65,6.015068000000e-07,601.5068,0.601507
66,6.039973000000e-07,603.9973,0.603997
67,6.067966000000e-07,606.7966,0.606797
68,6.023484000000e-07,602.3484,0.602348
69,6.192757000000e-07,619.2757,0.619276
70,5.956517000000e-07,595.6517,0.595652
71,6.039568000000e-07,603.9568,0.603957
72,6.094414000000e-07,609.4414,0.609441
73,6.008597000000e-07,600.8597,0.600860
74,6.087227000000e-07,608.7227,0.608723
75,6.248196000000e-07,624.8196,0.624820
76,6.273139000000e-07,627.3139,0.627314
77,6.051397000000e-07,605.1397,0.605140
78,6.104663000000e-07,610.4663,0.610466
79,6.005376000000e-07,600.5376,0.600538
80,6.023362000000e-07,602.3362,0.602336
81,6.309622000000e-07,630.9622,0.630962
82,6.080762000000e-07,608.0762,0.608076
83,6.128712000000e-07,612.8712,0.612871
84,6.187483000000e-07,618.7483,0.618748
85,6.259932000000e-07,625.9932,0.625993
86,6.046172000000e-07,604.6172,0.604617
87,6.136173000000e-07,613.6173,0.613617
88,6.261858000000e-07,626.1858,0.626186
89,6.140447000000e-07,614.0447,0.614045
90,6.268262000000e-07,626.8262,0.626826
91,6.056313000000e-07,605.6313,0.605631
92,6.193176000000e-07,619.3176,0.619318
93,6.230211000000e-07,623.0211,0.623021
94,6.032983000000e-07,603.2983,0.603298
95,6.099595000000e-07,609.9595,0.609959
96,6.050257000000e-07,605.0257,0.605026
97,6.043777000000e-07,604.3777,0.604378
98,6.224104000000e-07,622.4104,0.622410
99,6.079941000000e-07,607.9941,0.607994
