# Experimento: Corriente oscura (proxy DCR) a V_ov fijo
# Dispositivo: MFC60035_01
# Modelo: MICROFC-60035-SMT (onsemi C-Series)
# Batch: 1
# V_br_ref_V: 24.6870
# V_br_ref_fecha: 11/08/2026 a 16 C (LOG 3)
# V_ov_target_V: 2.5
# V_bias_V: 27.1870
# Config: B (HI->catodo, LO->anodo, V positivos)
# I_dark_mean_A: 4.369702710000e-07
# I_dark_std_A: 9.179472241671e-09
# I_dark_mean_nA: 436.9703
# I_dark_std_nA: 9.1795
# N_samples: 100
# Compliance_hit: False
# NPLC: 1.0
# Stabilize_time_s: 10.0
# I_compliance_A: 1.000000e-04
# Temperatura_C: 16
# Instrumento: KEITHLEY INSTRUMENTS,MODEL 2450,04302182,1.6.1a
# Operador: PI_GammaTracker
# Fecha: 2026-08-24 12:36:25
# Notas: none

reading_idx,current_A,current_nA,current_uA
0,4.549258000000e-07,454.9258,0.454926
1,4.560547000000e-07,456.0547,0.456055
2,4.544287000000e-07,454.4287,0.454429
3,4.559908000000e-07,455.9908,0.455991
4,4.600966000000e-07,460.0966,0.460097
5,4.605652000000e-07,460.5652,0.460565
6,4.589161000000e-07,458.9161,0.458916
7,4.604655000000e-07,460.4655,0.460465
8,4.581466000000e-07,458.1466,0.458147
9,4.597250000000e-07,459.7250,0.459725
10,4.541480000000e-07,454.1480,0.454148
11,4.537356000000e-07,453.7356,0.453736
12,4.498040000000e-07,449.8040,0.449804
13,4.438544000000e-07,443.8544,0.443854
14,4.371101000000e-07,437.1101,0.437110
15,4.424313000000e-07,442.4313,0.442431
16,4.481230000000e-07,448.1230,0.448123
17,4.379974000000e-07,437.9974,0.437997
18,4.362895000000e-07,436.2895,0.436289
19,4.342726000000e-07,434.2726,0.434273
20,4.339545000000e-07,433.9545,0.433955
21,4.359310000000e-07,435.9310,0.435931
22,4.413406000000e-07,441.3406,0.441341
23,4.418129000000e-07,441.8129,0.441813
24,4.409431000000e-07,440.9431,0.440943
25,4.331617000000e-07,433.1617,0.433162
26,4.422109000000e-07,442.2109,0.442211
27,4.432667000000e-07,443.2667,0.443267
28,4.474515000000e-07,447.4515,0.447452
29,4.358193000000e-07,435.8193,0.435819
30,4.410458000000e-07,441.0458,0.441046
31,4.383986000000e-07,438.3986,0.438399
32,4.397751000000e-07,439.7751,0.439775
33,4.353076000000e-07,435.3076,0.435308
34,4.445563000000e-07,444.5563,0.444556
35,4.425501000000e-07,442.5501,0.442550
36,4.367751000000e-07,436.7751,0.436775
37,4.373082000000e-07,437.3082,0.437308
38,4.359899000000e-07,435.9899,0.435990
39,4.280270000000e-07,428.0270,0.428027
40,4.315678000000e-07,431.5678,0.431568
41,4.349164000000e-07,434.9164,0.434916
42,4.292059000000e-07,429.2059,0.429206
43,4.346551000000e-07,434.6551,0.434655
44,4.385681000000e-07,438.5681,0.438568
45,4.353807000000e-07,435.3807,0.435381
46,4.325339000000e-07,432.5339,0.432534
47,4.334016000000e-07,433.4016,0.433402
48,4.277692000000e-07,427.7692,0.427769
49,4.301428000000e-07,430.1428,0.430143
50,4.313518000000e-07,431.3518,0.431352
51,4.363201000000e-07,436.3201,0.436320
52,4.288474000000e-07,428.8474,0.428847
53,4.368912000000e-07,436.8912,0.436891
54,4.307738000000e-07,430.7738,0.430774
55,4.275240000000e-07,427.5240,0.427524
56,4.394605000000e-07,439.4605,0.439461
57,4.352406000000e-07,435.2406,0.435241
58,4.320345000000e-07,432.0345,0.432034
59,4.238254000000e-07,423.8254,0.423825
60,4.360098000000e-07,436.0098,0.436010
61,4.261864000000e-07,426.1864,0.426186
62,4.287810000000e-07,428.7810,0.428781
63,4.371113000000e-07,437.1113,0.437111
64,4.322923000000e-07,432.2923,0.432292
65,4.270695000000e-07,427.0695,0.427069
66,4.355740000000e-07,435.5740,0.435574
67,4.265650000000e-07,426.5650,0.426565
68,4.322725000000e-07,432.2725,0.432273
69,4.334410000000e-07,433.4410,0.433441
70,4.391254000000e-07,439.1254,0.439125
71,4.361505000000e-07,436.1505,0.436150
72,4.325958000000e-07,432.5958,0.432596
73,4.263516000000e-07,426.3516,0.426352
74,4.311246000000e-07,431.1246,0.431125
75,4.262720000000e-07,426.2720,0.426272
76,4.325276000000e-07,432.5276,0.432528
77,4.315570000000e-07,431.5570,0.431557
78,4.279077000000e-07,427.9077,0.427908
79,4.304247000000e-07,430.4247,0.430425
80,4.317377000000e-07,431.7377,0.431738
81,4.327343000000e-07,432.7343,0.432734
82,4.339505000000e-07,433.9505,0.433951
83,4.307780000000e-07,430.7780,0.430778
84,4.300451000000e-07,430.0451,0.430045
85,4.274671000000e-07,427.4671,0.427467
86,4.381578000000e-07,438.1578,0.438158
87,4.349506000000e-07,434.9506,0.434951
88,4.327709000000e-07,432.7709,0.432771
89,4.297871000000e-07,429.7871,0.429787
90,4.269679000000e-07,426.9679,0.426968
91,4.277699000000e-07,427.7699,0.427770
92,4.331256000000e-07,433.1256,0.433126
93,4.272718000000e-07,427.2718,0.427272
94,4.277085000000e-07,427.7085,0.427709
95,4.319732000000e-07,431.9732,0.431973
96,4.268063000000e-07,426.8063,0.426806
97,4.340160000000e-07,434.0160,0.434016
98,4.370046000000e-07,437.0046,0.437005
99,4.295469000000e-07,429.5469,0.429547
