# Experimento: Corriente oscura (proxy DCR) a V_ov fijo
# Dispositivo: MFC60035_06
# Modelo: MICROFC-60035-SMT (onsemi C-Series)
# Batch: 2
# V_br_ref_V: 24.5660
# V_br_ref_fecha: 11/08/2026 a 16 C (LOG 3)
# V_ov_target_V: 2.5
# V_bias_V: 27.0660
# Config: B (HI->catodo, LO->anodo, V positivos)
# I_dark_mean_A: 5.042841570000e-07
# I_dark_std_A: 4.637209394206e-09
# I_dark_mean_nA: 504.2842
# I_dark_std_nA: 4.6372
# N_samples: 100
# Compliance_hit: False
# NPLC: 1.0
# Stabilize_time_s: 10.0
# I_compliance_A: 1.000000e-04
# Temperatura_C: 16
# Instrumento: KEITHLEY INSTRUMENTS,MODEL 2450,04302182,1.6.1a
# Operador: PI_GammaTracker
# Fecha: 2026-08-24 12:41:21
# Notas: none

reading_idx,current_A,current_nA,current_uA
0,5.123610000000e-07,512.3610,0.512361
1,5.170727000000e-07,517.0727,0.517073
2,5.054149000000e-07,505.4149,0.505415
3,5.083884000000e-07,508.3884,0.508388
4,5.070331000000e-07,507.0331,0.507033
5,5.088710000000e-07,508.8710,0.508871
6,5.058388000000e-07,505.8388,0.505839
7,4.999123000000e-07,499.9123,0.499912
8,5.013351000000e-07,501.3351,0.501335
9,5.008755000000e-07,500.8755,0.500876
10,5.010795000000e-07,501.0795,0.501080
11,5.103834000000e-07,510.3834,0.510383
12,4.992079000000e-07,499.2079,0.499208
13,5.017621000000e-07,501.7621,0.501762
14,5.146278000000e-07,514.6278,0.514628
15,5.126971000000e-07,512.6971,0.512697
16,5.065374000000e-07,506.5374,0.506537
17,5.051905000000e-07,505.1905,0.505190
18,4.972952000000e-07,497.2952,0.497295
19,5.025238000000e-07,502.5238,0.502524
20,5.034020000000e-07,503.4020,0.503402
21,5.028496000000e-07,502.8496,0.502850
22,5.040547000000e-07,504.0547,0.504055
23,5.025914000000e-07,502.5914,0.502591
24,5.036451000000e-07,503.6451,0.503645
25,5.016612000000e-07,501.6612,0.501661
26,5.088850000000e-07,508.8850,0.508885
27,4.937704000000e-07,493.7704,0.493770
28,5.006679000000e-07,500.6679,0.500668
29,4.981936000000e-07,498.1936,0.498194
30,5.012244000000e-07,501.2244,0.501224
31,4.964405000000e-07,496.4405,0.496440
32,4.991238000000e-07,499.1238,0.499124
33,5.081915000000e-07,508.1915,0.508192
34,5.012464000000e-07,501.2464,0.501246
35,5.021565000000e-07,502.1565,0.502157
36,5.057350000000e-07,505.7350,0.505735
37,4.999358000000e-07,499.9358,0.499936
38,4.960346000000e-07,496.0346,0.496035
39,5.062424000000e-07,506.2424,0.506242
40,5.061914000000e-07,506.1914,0.506191
41,5.025275000000e-07,502.5275,0.502528
42,4.985199000000e-07,498.5199,0.498520
43,4.972998000000e-07,497.2998,0.497300
44,5.074403000000e-07,507.4403,0.507440
45,4.973106000000e-07,497.3106,0.497311
46,5.081137000000e-07,508.1137,0.508114
47,5.069274000000e-07,506.9274,0.506927
48,5.073761000000e-07,507.3761,0.507376
49,4.972459000000e-07,497.2459,0.497246
50,5.007017000000e-07,500.7017,0.500702
51,5.015976000000e-07,501.5976,0.501598
52,5.048897000000e-07,504.8897,0.504890
53,5.071877000000e-07,507.1877,0.507188
54,4.984250000000e-07,498.4250,0.498425
55,5.061844000000e-07,506.1844,0.506184
56,5.049869000000e-07,504.9869,0.504987
57,4.999098000000e-07,499.9098,0.499910
58,5.056953000000e-07,505.6953,0.505695
59,4.961905000000e-07,496.1905,0.496190
60,5.023325000000e-07,502.3325,0.502332
61,4.965426000000e-07,496.5426,0.496543
62,4.974513000000e-07,497.4513,0.497451
63,5.070054000000e-07,507.0054,0.507005
64,5.058342000000e-07,505.8342,0.505834
65,5.039566000000e-07,503.9566,0.503957
66,5.102275000000e-07,510.2275,0.510228
67,4.987633000000e-07,498.7633,0.498763
68,5.033143000000e-07,503.3143,0.503314
69,5.028796000000e-07,502.8796,0.502880
70,5.037660000000e-07,503.7660,0.503766
71,5.138668000000e-07,513.8668,0.513867
72,5.029318000000e-07,502.9318,0.502932
73,5.031125000000e-07,503.1125,0.503113
74,5.025855000000e-07,502.5855,0.502586
75,5.018090000000e-07,501.8090,0.501809
76,5.093406000000e-07,509.3406,0.509341
77,5.069905000000e-07,506.9905,0.506991
78,5.060376000000e-07,506.0376,0.506038
79,5.078481000000e-07,507.8481,0.507848
80,5.050188000000e-07,505.0188,0.505019
81,5.068807000000e-07,506.8807,0.506881
82,5.062763000000e-07,506.2763,0.506276
83,5.063865000000e-07,506.3865,0.506386
84,5.096342000000e-07,509.6342,0.509634
85,5.158553000000e-07,515.8553,0.515855
86,5.059400000000e-07,505.9400,0.505940
87,5.084119000000e-07,508.4119,0.508412
88,5.086065000000e-07,508.6065,0.508606
89,5.043784000000e-07,504.3784,0.504378
90,5.073623000000e-07,507.3623,0.507362
91,5.067389000000e-07,506.7389,0.506739
92,5.049078000000e-07,504.9078,0.504908
93,5.037413000000e-07,503.7413,0.503741
94,5.092136000000e-07,509.2136,0.509214
95,5.097149000000e-07,509.7149,0.509715
96,5.015916000000e-07,501.5916,0.501592
97,5.104477000000e-07,510.4477,0.510448
98,4.999603000000e-07,499.9603,0.499960
99,5.015725000000e-07,501.5725,0.501572
