# Experimento: Corriente oscura (proxy DCR) a V_ov fijo
# Dispositivo: MFC60035_02
# Modelo: MICROFC-60035-SMT (onsemi C-Series)
# Batch: 1
# V_br_ref_V: 24.6650
# V_br_ref_fecha: 11/08/2026 a 16 C (LOG 3)
# V_ov_target_V: 2.5
# V_bias_V: 27.1650
# Config: B (HI->catodo, LO->anodo, V positivos)
# I_dark_mean_A: 4.382008340000e-07
# I_dark_std_A: 3.596474908788e-09
# I_dark_mean_nA: 438.2008
# I_dark_std_nA: 3.5965
# N_samples: 100
# Compliance_hit: False
# NPLC: 1.0
# Stabilize_time_s: 10.0
# I_compliance_A: 1.000000e-04
# Temperatura_C: 16
# Instrumento: KEITHLEY INSTRUMENTS,MODEL 2450,04302182,1.6.1a
# Operador: PI_GammaTracker
# Fecha: 2026-08-24 12:30:07
# Notas: none

reading_idx,current_A,current_nA,current_uA
0,4.430726000000e-07,443.0726,0.443073
1,4.345668000000e-07,434.5668,0.434567
2,4.346550000000e-07,434.6550,0.434655
3,4.400469000000e-07,440.0469,0.440047
4,4.388754000000e-07,438.8754,0.438875
5,4.399948000000e-07,439.9948,0.439995
6,4.350060000000e-07,435.0060,0.435006
7,4.371658000000e-07,437.1658,0.437166
8,4.348479000000e-07,434.8479,0.434848
9,4.334774000000e-07,433.4774,0.433477
10,4.355863000000e-07,435.5863,0.435586
11,4.357249000000e-07,435.7249,0.435725
12,4.367077000000e-07,436.7077,0.436708
13,4.376529000000e-07,437.6529,0.437653
14,4.301914000000e-07,430.1914,0.430191
15,4.363152000000e-07,436.3152,0.436315
16,4.338627000000e-07,433.8627,0.433863
17,4.383363000000e-07,438.3363,0.438336
18,4.349601000000e-07,434.9601,0.434960
19,4.358045000000e-07,435.8045,0.435804
20,4.364321000000e-07,436.4321,0.436432
21,4.355318000000e-07,435.5318,0.435532
22,4.370563000000e-07,437.0563,0.437056
23,4.398292000000e-07,439.8292,0.439829
24,4.369575000000e-07,436.9575,0.436957
25,4.341453000000e-07,434.1453,0.434145
26,4.340605000000e-07,434.0605,0.434061
27,4.433894000000e-07,443.3894,0.443389
28,4.419291000000e-07,441.9291,0.441929
29,4.304838000000e-07,430.4838,0.430484
30,4.326469000000e-07,432.6469,0.432647
31,4.378152000000e-07,437.8152,0.437815
32,4.340527000000e-07,434.0527,0.434053
33,4.350543000000e-07,435.0543,0.435054
34,4.351129000000e-07,435.1129,0.435113
35,4.389023000000e-07,438.9023,0.438902
36,4.389050000000e-07,438.9050,0.438905
37,4.403082000000e-07,440.3082,0.440308
38,4.369837000000e-07,436.9837,0.436984
39,4.409016000000e-07,440.9016,0.440902
40,4.351200000000e-07,435.1200,0.435120
41,4.408173000000e-07,440.8173,0.440817
42,4.314190000000e-07,431.4190,0.431419
43,4.393449000000e-07,439.3449,0.439345
44,4.345828000000e-07,434.5828,0.434583
45,4.394608000000e-07,439.4608,0.439461
46,4.359568000000e-07,435.9568,0.435957
47,4.412044000000e-07,441.2044,0.441204
48,4.376700000000e-07,437.6700,0.437670
49,4.436266000000e-07,443.6266,0.443627
50,4.371850000000e-07,437.1850,0.437185
51,4.405470000000e-07,440.5470,0.440547
52,4.418363000000e-07,441.8363,0.441836
53,4.316063000000e-07,431.6063,0.431606
54,4.449066000000e-07,444.9066,0.444907
55,4.419920000000e-07,441.9920,0.441992
56,4.387528000000e-07,438.7528,0.438753
57,4.337987000000e-07,433.7987,0.433799
58,4.351357000000e-07,435.1357,0.435136
59,4.390118000000e-07,439.0118,0.439012
60,4.312833000000e-07,431.2833,0.431283
61,4.389771000000e-07,438.9771,0.438977
62,4.368933000000e-07,436.8933,0.436893
63,4.391277000000e-07,439.1277,0.439128
64,4.373638000000e-07,437.3638,0.437364
65,4.371845000000e-07,437.1845,0.437185
66,4.439022000000e-07,443.9022,0.443902
67,4.375110000000e-07,437.5110,0.437511
68,4.392707000000e-07,439.2707,0.439271
69,4.426316000000e-07,442.6316,0.442632
70,4.368497000000e-07,436.8497,0.436850
71,4.413742000000e-07,441.3742,0.441374
72,4.388269000000e-07,438.8269,0.438827
73,4.401755000000e-07,440.1755,0.440175
74,4.445382000000e-07,444.5382,0.444538
75,4.379447000000e-07,437.9447,0.437945
76,4.331611000000e-07,433.1611,0.433161
77,4.391105000000e-07,439.1105,0.439110
78,4.390706000000e-07,439.0706,0.439071
79,4.394975000000e-07,439.4975,0.439498
80,4.366550000000e-07,436.6550,0.436655
81,4.477676000000e-07,447.7676,0.447768
82,4.372367000000e-07,437.2367,0.437237
83,4.439101000000e-07,443.9101,0.443910
84,4.410066000000e-07,441.0066,0.441007
85,4.425178000000e-07,442.5178,0.442518
86,4.386748000000e-07,438.6748,0.438675
87,4.435312000000e-07,443.5312,0.443531
88,4.428687000000e-07,442.8687,0.442869
89,4.333047000000e-07,433.3047,0.433305
90,4.396644000000e-07,439.6644,0.439664
91,4.406457000000e-07,440.6457,0.440646
92,4.442821000000e-07,444.2821,0.444282
93,4.384738000000e-07,438.4738,0.438474
94,4.420917000000e-07,442.0917,0.442092
95,4.423448000000e-07,442.3448,0.442345
96,4.348613000000e-07,434.8613,0.434861
97,4.394522000000e-07,439.4522,0.439452
98,4.401949000000e-07,440.1949,0.440195
99,4.445820000000e-07,444.5820,0.444582
