# Muestra: MFC60035_05
# Modelo: MICROFC-60035-SMT
# Fabricante: onsemi (C-Series)
# Operador: PI_GammaTracker
# Fecha_inicio: 2026-08-11 16:06:57
# Fecha_fin: 2026-08-11 16:12:24
# Duracion_s: 327.7
"# Instrumento: KEITHLEY INSTRUMENTS,MODEL 2450,04302182,1.6.1a"
# Temperatura: 16.0 °C
"# Fase1_fino_directa: -0.3 a -0.3 V, paso 0.01 V"
"# Fase2_grueso: 1.0 a 23.0 V, paso 1.0 V"
"# Fase3_fino_inversa: 23.05 a 30.0 V, paso 0.01 V"
# I_compliance_A: 1.000000e-04
# NPLC: 1.0
# Delay_s: 0.05
# Sensing: 2-wire
# Terminales: frontales (banana)
# Compliance_alcanzado: False
# Compliance_voltage_V: N/A
# Puntos_medidos: 720
# Vbr_V: 24.7733
# Vbr_R2: 0.985422
# Vbr_fit_range_V: 24.77-30.00
# Vbr_fit_npoints: 524
# Notas: none

Voltage_V,Current_A,Current_uA,AbsCurrent_A,SqrtAbsCurrent_sqrtA
-0.300000,-6.947702000000e-08,-0.069477,6.947702000000e-08,2.635849388717e-04
1.000000,-6.937644000000e-11,-0.000069,6.937644000000e-11,8.329252067263e-06
2.000000,-1.518417000000e-09,-0.001518,1.518417000000e-09,3.896687054409e-05
3.000000,1.535944000000e-10,0.000154,1.535944000000e-10,1.239332078178e-05
4.000000,-8.135660000000e-11,-0.000081,8.135660000000e-11,9.019789354525e-06
5.000000,1.799976000000e-09,0.001800,1.799976000000e-09,4.242612402754e-05
6.000000,1.545420000000e-09,0.001545,1.545420000000e-09,3.931183028046e-05
7.000000,1.587704000000e-09,0.001588,1.587704000000e-09,3.984600356372e-05
8.000000,3.155210000000e-10,0.000316,3.155210000000e-10,1.776291079750e-05
9.000000,9.755483000000e-10,0.000976,9.755483000000e-10,3.123376858466e-05
10.000000,8.560287000000e-10,0.000856,8.560287000000e-10,2.925796814545e-05
11.000000,1.482261000000e-09,0.001482,1.482261000000e-09,3.850014285688e-05
12.000000,1.112681000000e-10,0.000111,1.112681000000e-10,1.054836954226e-05
13.000000,4.565357000000e-10,0.000457,4.565357000000e-10,2.136669604782e-05
14.000000,5.302634000000e-10,0.000530,5.302634000000e-10,2.302744883829e-05
15.000000,1.888259000000e-09,0.001888,1.888259000000e-09,4.345410222292e-05
16.000000,6.471151000000e-10,0.000647,6.471151000000e-10,2.543845710730e-05
17.000000,1.899879000000e-09,0.001900,1.899879000000e-09,4.358760144812e-05
