# Muestra: MFC60035_06
# Modelo: MICROFC-60035-SMT
# Fabricante: onsemi (C-Series)
# Operador: PI_GammaTracker
# Fecha_inicio: 2026-08-11 14:08:16
# Fecha_fin: 2026-08-11 14:13:33
# Duracion_s: 316.4
"# Instrumento: KEITHLEY INSTRUMENTS,MODEL 2450,04302182,1.6.1a"
# Temperatura: 16.0 °C
"# Fase1_fino_directa: -0.3 a -0.3 V, paso 0.01 V"
"# Fase2_grueso: 1.0 a 23.0 V, paso 1.0 V"
"# Fase3_fino_inversa: 23.05 a 30.0 V, paso 0.01 V"
# I_compliance_A: 1.000000e-04
# NPLC: 1.0
# Delay_s: 0.05
# Sensing: 2-wire
# Terminales: frontales (banana)
# Compliance_alcanzado: False
# Compliance_voltage_V: N/A
# Puntos_medidos: 720
# Vbr_V: 24.5662
# Vbr_R2: 0.995225
# Vbr_fit_range_V: 24.72-30.00
# Vbr_fit_npoints: 529
# Notas: none

Voltage_V,Current_A,Current_uA,AbsCurrent_A,SqrtAbsCurrent_sqrtA
-0.300000,-6.915513000000e-08,-0.069155,6.915513000000e-08,2.629736298567e-04
1.000000,9.191007000000e-11,0.000092,9.191007000000e-11,9.586973975139e-06
2.000000,7.757800000000e-12,0.000008,7.757800000000e-12,2.785282750458e-06
3.000000,1.321974000000e-09,0.001322,1.321974000000e-09,3.635896038118e-05
4.000000,2.146609000000e-10,0.000215,2.146609000000e-10,1.465131052159e-05
5.000000,-1.562626000000e-11,-0.000016,1.562626000000e-11,3.953006450792e-06
6.000000,8.484443000000e-10,0.000848,8.484443000000e-10,2.912806722047e-05
7.000000,4.003488000000e-10,0.000400,4.003488000000e-10,2.000871809987e-05
8.000000,-1.003951000000e-09,-0.001004,1.003951000000e-09,3.168518581293e-05
9.000000,3.080307000000e-10,0.000308,3.080307000000e-10,1.755080340041e-05
10.000000,1.333693000000e-09,0.001334,1.333693000000e-09,3.651976177359e-05
11.000000,6.172745000000e-10,0.000617,6.172745000000e-10,2.484500955927e-05
12.000000,4.858114000000e-10,0.000486,4.858114000000e-10,2.204112973511e-05
13.000000,-8.638017000000e-10,-0.000864,8.638017000000e-10,2.939050356833e-05
14.000000,5.549242000000e-10,0.000555,5.549242000000e-10,2.355682915844e-05
15.000000,6.479752000000e-10,0.000648,6.479752000000e-10,2.545535700005e-05
16.000000,8.874312000000e-10,0.000887,8.874312000000e-10,2.978978348360e-05
17.000000,9.219724000000e-10,0.000922,9.219724000000e-10,3.036399841918e-05
18.000000,9.190830000000e-10,0.000919,9.190830000000e-10,3.031638171022e-05
19.000000,2.021080000000e-09,0.002021,2.021080000000e-09,4.495642334528e-05
20.000000,9.904516000000e-10,0.000990,9.904516000000e-10,3.147144102198e-05
21.000000,2.195497000000e-09,0.002195,2.195497000000e-09,4.685613086886e-05
22.000000,1.269967000000e-09,0.001270,1.269967000000e-09,3.563659635824e-05
23.000000,-5.946143000000e-11,-0.000059,5.946143000000e-11,7.711123783211e-06
23.050000,1.428954000000e-09,0.001429,1.428954000000e-09,3.780150790643e-05
23.060000,1.230359000000e-09,0.001230,1.230359000000e-09,3.507647359699e-05
23.070000,1.408540000000e-09,0.001409,1.408540000000e-09,3.753052091298e-05
23.080000,2.328018000000e-09,0.002328,2.328018000000e-09,4.824953885790e-05
23.090000,1.276310000000e-09,0.001276,1.276310000000e-09,3.572548110243e-05
23.100000,-2.048132000000e-10,-0.000205,2.048132000000e-10,1.431129623759e-05
23.110000,5.488512000000e-10,0.000549,5.488512000000e-10,2.342757349791e-05
23.120000,-2.895347000000e-10,-0.000290,2.895347000000e-10,1.701571920314e-05
23.130000,1.817363000000e-09,0.001817,1.817363000000e-09,4.263054069561e-05
23.140000,4.952069000000e-09,0.004952,4.952069000000e-09,7.037093860394e-05
23.150000,2.180267000000e-09,0.002180,2.180267000000e-09,4.669332928803e-05
23.160000,-7.646017000000e-10,-0.000765,7.646017000000e-10,2.765143215098e-05
23.170000,3.391663000000e-10,0.000339,3.391663000000e-10,1.841646817389e-05
23.180000,3.380066000000e-09,0.003380,3.380066000000e-09,5.813833502948e-05
23.190000,6.962648000000e-10,0.000696,6.962648000000e-10,2.638683004834e-05
23.200000,-2.843497000000e-10,-0.000284,2.843497000000e-10,1.686267179305e-05
23.210000,9.797074000000e-10,0.000980,9.797074000000e-10,3.130027795404e-05
23.220000,1.142926000000e-09,0.001143,1.142926000000e-09,3.380718858468e-05
23.230000,1.583982000000e-09,0.001584,1.583982000000e-09,3.979927135011e-05
23.240000,1.320963000000e-09,0.001321,1.320963000000e-09,3.634505468423e-05
23.250000,-8.572918000000e-11,-0.000086,8.572918000000e-11,9.259005346148e-06
23.260000,2.033558000000e-09,0.002034,2.033558000000e-09,4.509498863510e-05
23.270000,2.270792000000e-09,0.002271,2.270792000000e-09,4.765282782795e-05
23.280000,1.144271000000e-09,0.001144,1.144271000000e-09,3.382707495483e-05
23.290000,-1.612156000000e-10,-0.000161,1.612156000000e-10,1.269707052828e-05
23.300000,1.224278000000e-09,0.001224,1.224278000000e-09,3.498968419406e-05
23.310000,1.250521000000e-09,0.001251,1.250521000000e-09,3.536270634440e-05
23.320000,1.637188000000e-09,0.001637,1.637188000000e-09,4.046217987207e-05
23.330000,-9.612229000000e-11,-0.000096,9.612229000000e-11,9.804197570429e-06
23.340000,1.433288000000e-09,0.001433,1.433288000000e-09,3.785879026065e-05
23.350000,1.462157000000e-09,0.001462,1.462157000000e-09,3.823816156669e-05
23.360000,1.414561000000e-09,0.001415,1.414561000000e-09,3.761065008744e-05
