# Muestra: MFC60035_02
# Modelo: MICROFC-60035-SMT
# Fabricante: onsemi (C-Series)
# Operador: PI_GammaTracker
# Fecha_inicio: 2026-08-11 15:37:30
# Fecha_fin: 2026-08-11 15:43:11
# Duracion_s: 341.4
"# Instrumento: KEITHLEY INSTRUMENTS,MODEL 2450,04302182,1.6.1a"
# Temperatura: 17.0 °C
"# Fase1_fino_directa: -0.3 a -0.3 V, paso 0.01 V"
"# Fase2_grueso: 1.0 a 23.0 V, paso 1.0 V"
"# Fase3_fino_inversa: 23.05 a 30.0 V, paso 0.01 V"
# I_compliance_A: 1.000000e-04
# NPLC: 1.0
# Delay_s: 0.05
# Sensing: 2-wire
# Terminales: frontales (banana)
# Compliance_alcanzado: False
# Compliance_voltage_V: N/A
# Puntos_medidos: 720
# Vbr_V: 24.6649
# Vbr_R2: 0.993070
# Vbr_fit_range_V: 24.82-30.00
# Vbr_fit_npoints: 519
# Notas: none

Voltage_V,Current_A,Current_uA,AbsCurrent_A,SqrtAbsCurrent_sqrtA
-0.300000,-8.501116000000e-08,-0.085011,8.501116000000e-08,2.915667333562e-04
1.000000,-1.141277000000e-09,-0.001141,1.141277000000e-09,3.378279147732e-05
2.000000,-1.551902000000e-10,-0.000155,1.551902000000e-10,1.245753587191e-05
3.000000,-6.540739000000e-11,-0.000065,6.540739000000e-11,8.087483539396e-06
4.000000,2.300600000000e-10,0.000230,2.300600000000e-10,1.516772890053e-05
5.000000,2.151425000000e-09,0.002151,2.151425000000e-09,4.638345610236e-05
6.000000,4.287862000000e-10,0.000429,4.287862000000e-10,2.070715335337e-05
7.000000,3.240419000000e-10,0.000324,3.240419000000e-10,1.800116385126e-05
8.000000,2.208112000000e-09,0.002208,2.208112000000e-09,4.699055224191e-05
9.000000,4.663920000000e-10,0.000466,4.663920000000e-10,2.159611076097e-05
10.000000,-1.837397000000e-09,-0.001837,1.837397000000e-09,4.286486906547e-05
11.000000,3.860557000000e-10,0.000386,3.860557000000e-10,1.964830018093e-05
12.000000,-1.594364000000e-09,-0.001594,1.594364000000e-09,3.992948785046e-05
13.000000,6.646593000000e-10,0.000665,6.646593000000e-10,2.578098718048e-05
14.000000,5.638336000000e-10,0.000564,5.638336000000e-10,2.374518056364e-05
15.000000,2.335098000000e-09,0.002335,2.335098000000e-09,4.832285173704e-05
16.000000,5.902916000000e-10,0.000590,5.902916000000e-10,2.429591735251e-05
17.000000,2.423566000000e-09,0.002424,2.423566000000e-09,4.922972679185e-05
18.000000,8.592327000000e-10,0.000859,8.592327000000e-10,2.931267132146e-05
19.000000,1.888354000000e-09,0.001888,1.888354000000e-09,4.345519531656e-05
20.000000,9.141993000000e-10,0.000914,9.141993000000e-10,3.023572886504e-05
21.000000,-9.866399000000e-10,-0.000987,9.866399000000e-10,3.141082456734e-05
22.000000,8.604872000000e-10,0.000860,8.604872000000e-10,2.933406211216e-05
23.000000,1.040790000000e-09,0.001041,1.040790000000e-09,3.226127709809e-05
23.050000,1.240286000000e-09,0.001240,1.240286000000e-09,3.521769441630e-05
23.060000,-1.041607000000e-09,-0.001042,1.041607000000e-09,3.227393685313e-05
23.070000,1.274880000000e-09,0.001275,1.274880000000e-09,3.570546176707e-05
23.080000,-9.740883000000e-10,-0.000974,9.740883000000e-10,3.121038769384e-05
23.090000,1.333627000000e-09,0.001334,1.333627000000e-09,3.651885814206e-05
23.100000,2.802345000000e-09,0.002802,2.802345000000e-09,5.293717975110e-05
23.110000,1.224910000000e-09,0.001225,1.224910000000e-09,3.499871426210e-05
23.120000,-4.073722000000e-10,-0.000407,4.073722000000e-10,2.018346352834e-05
23.130000,1.515441000000e-09,0.001515,1.515441000000e-09,3.892866553069e-05
23.140000,-9.948505000000e-10,-0.000995,9.948505000000e-10,3.154125076784e-05
23.150000,1.309923000000e-09,0.001310,1.309923000000e-09,3.619285841157e-05
23.160000,2.358471000000e-09,0.002358,2.358471000000e-09,4.856409167276e-05
23.170000,1.322927000000e-09,0.001323,1.322927000000e-09,3.637206345535e-05
23.180000,2.688959000000e-09,0.002689,2.688959000000e-09,5.185517331954e-05
23.190000,1.522807000000e-09,0.001523,1.522807000000e-09,3.902315979005e-05
23.200000,2.208646000000e-09,0.002209,2.208646000000e-09,4.699623389166e-05
23.210000,1.255340000000e-09,0.001255,1.255340000000e-09,3.543077758108e-05
23.220000,2.953955000000e-09,0.002954,2.953955000000e-09,5.435029898722e-05
23.230000,1.318700000000e-09,0.001319,1.318700000000e-09,3.631390918092e-05
23.240000,-7.827330000000e-10,-0.000783,7.827330000000e-10,2.797736585170e-05
23.250000,1.022373000000e-09,0.001022,1.022373000000e-09,3.197456801897e-05
23.260000,1.087044000000e-09,0.001087,1.087044000000e-09,3.297035031661e-05
23.270000,1.317867000000e-09,0.001318,1.317867000000e-09,3.630243793466e-05
23.280000,-7.920495000000e-10,-0.000792,7.920495000000e-10,2.814337399815e-05
23.290000,1.116964000000e-09,0.001117,1.116964000000e-09,3.342101135513e-05
23.300000,1.092439000000e-09,0.001092,1.092439000000e-09,3.305206498844e-05
23.310000,1.278402000000e-09,0.001278,1.278402000000e-09,3.575474793646e-05
23.320000,-8.065332000000e-11,-0.000081,8.065332000000e-11,8.980719347580e-06
23.330000,1.240926000000e-09,0.001241,1.240926000000e-09,3.522677958599e-05
23.340000,-9.025363000000e-10,-0.000903,9.025363000000e-10,3.004224192699e-05
23.350000,1.350091000000e-09,0.001350,1.350091000000e-09,3.674358447403e-05
23.360000,2.698356000000e-09,0.002698,2.698356000000e-09,5.194570242089e-05
23.370000,1.168853000000e-09,0.001169,1.168853000000e-09,3.418849221595e-05
23.380000,2.674539000000e-09,0.002675,2.674539000000e-09,5.171594531670e-05
23.390000,1.178680000000e-09,0.001179,1.178680000000e-09,3.433190935558e-05
23.400000,1.231124000000e-09,0.001231,1.231124000000e-09,3.508737664745e-05
23.410000,2.430705000000e-09,0.002431,2.430705000000e-09,4.930218047916e-05
23.420000,1.444457000000e-09,0.001444,1.444457000000e-09,3.800601268221e-05
23.430000,1.986634000000e-09,0.001987,1.986634000000e-09,4.457167261838e-05
23.440000,1.560541000000e-09,0.001561,1.560541000000e-09,3.950368337257e-05
23.450000,-9.052248000000e-10,-0.000905,9.052248000000e-10,3.008695398341e-05
23.460000,1.068273000000e-09,0.001068,1.068273000000e-09,3.268444584202e-05
23.470000,2.653474000000e-09,0.002653,2.653474000000e-09,5.151188212442e-05
23.480000,1.650037000000e-09,0.001650,1.650037000000e-09,4.062064745914e-05
23.490000,-8.271616000000e-10,-0.000827,8.271616000000e-10,2.876041724315e-05
23.500000,1.098896000000e-09,0.001099,1.098896000000e-09,3.314960029925e-05
23.510000,-6.590307000000e-10,-0.000659,6.590307000000e-10,2.567159325013e-05
23.520000,1.069362000000e-09,0.001069,1.069362000000e-09,3.270110089890e-05
23.530000,2.759215000000e-09,0.002759,2.759215000000e-09,5.252823050513e-05
23.540000,1.543580000000e-09,0.001544,1.543580000000e-09,3.928842068600e-05
23.550000,1.464618000000e-09,0.001465,1.464618000000e-09,3.827032793170e-05
23.560000,1.420177000000e-09,0.001420,1.420177000000e-09,3.768523583580e-05
23.570000,-8.486162000000e-10,-0.000849,8.486162000000e-10,2.913101783323e-05
23.580000,1.232020000000e-09,0.001232,1.232020000000e-09,3.510014244985e-05
23.590000,2.704563000000e-09,0.002705,2.704563000000e-09,5.200541317978e-05
23.600000,1.210852000000e-09,0.001211,1.210852000000e-09,3.479729874574e-05
23.610000,1.369951000000e-09,0.001370,1.369951000000e-09,3.701284912027e-05
23.620000,2.789765000000e-09,0.002790,2.789765000000e-09,5.281822602095e-05
23.630000,1.316393000000e-09,0.001316,1.316393000000e-09,3.628213058794e-05
23.640000,-7.280274000000e-10,-0.000728,7.280274000000e-10,2.698198287747e-05
23.650000,1.380137000000e-09,0.001380,1.380137000000e-09,3.715019515427e-05
23.660000,-2.038725000000e-10,-0.000204,2.038725000000e-10,1.427839276669e-05
23.670000,1.258735000000e-09,0.001259,1.258735000000e-09,3.547865555514e-05
23.680000,-6.869970000000e-10,-0.000687,6.869970000000e-10,2.621062761553e-05
